Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,time,label
1.8112793,-1.80981446,1.96606446,-247.03816224,-243.28244019,247.09924317,1436944636.510526,1
-1.76123047,1.03076172,1.96801758,248.61068726,-219.22137452,249.57252503,1436944636.570523,1
1.81811524,1.02636719,-1.75170899,250.12213135,249.86259461,246.67175293,1436944636.599903,1
1.81372071,1.0288086,1.96704102,-249.1450348,245.1450348,245.5114441,1436944636.691352,1
-1.76098633,1.02685547,1.97167969,246.90075684,-247.95419312,-247.75572205,1436944636.751198,1
1.81445313,-1.8100586,1.97070313,-248.79389954,243.23664856,249.49618531,1436944636.810721,1
-1.76123047,1.02856446,1.96826172,243.4045868,-243.74046326,242.93130494,1436944636.870450,1
1.81567383,1.0275879,1.96826172,248.83969117,-247.38931275,242.04580689,1436944636.990328,1
1.81469727,1.0288086,1.96411133,248.48855591,-249.80152894,243.98472596,1436944636.993327,1
1.81152344,1.0288086,1.96484375,-247.19084168,247.60305787,250.12213135,1436944637.023090,1
1.81079102,1.02612305,1.96191407,-249.05343628,243.60305787,-249.2671814,1436944637.053024,1
-1.76171875,1.02612305,1.96655274,-249.83206177,247.70993042,246.47328187,1436944637.112729,1
-1.76098633,1.02514649,1.97314454,247.46565247,-245.1450348,-245.09924317,1436944637.172259,1
1.81616211,1.02514649,1.97143555,246.62596131,-247.06869507,249.31297303,1436944637.262649,1
-1.76123047,1.02832032,1.97216797,-246.5038147,-247.28244019,249.66412354,1436944637.293884,1
1.81567383,1.03076172,1.96801758,-248.90075684,-246.61068726,248.09159852,1436944637.322597,1
1.81420899,1.03344727,-1.75195313,246.36640931,-241.64884949,243.90840149,1436944637.412268,1
1.81542969,1.02734375,1.96606446,249.75572205,-249.1450348,242.6412201,1436944637.562767,1
1.81103516,1.02587891,1.96728516,-249.72518921,247.20610047,249.32824708,1436944637.623357,1
1.81103516,1.02514649,1.97900391,249.41984559,-245.74046326,250.12213135,1436944637.682819,1
1.81542969,1.02905274,1.96606446,249.45037842,249.7709961,244.09159852,1436944637.742253,1
1.81372071,1.03051758,1.96728516,-247.84733582,245.22137452,-249.54199219,1436944637.803482,1
1.81542969,1.02929688,1.97094727,247.54199219,249.43511963,244.44274903,1436944637.983852,1
1.81054688,1.02954102,1.96313477,-247.41984559,238.38168335,-245.98472596,1436944638.160959,1
1.81689454,1.03369141,1.96606446,-248.70228577,249.87786866,-249.81678772,1436944638.223089,1
1.81567383,1.02929688,1.97143555,246.35115052,245.61831666,-246.96183777,1436944638.283293,1
-1.76171875,1.02856446,1.96606446,250.09159852,248.61068726,246.74809266,1436944638.375553,1
1.8112793,1.0288086,1.96997071,247.3740387,-243.08396912,240.97709656,1436944638.433410,1
1.81176758,1.02514649,1.96240235,-249.93893433,247.70993042,-249.95419312,1436944638.521729,1
-1.76098633,1.02954102,1.96728516,246.80915833,-248.35115052,246.90075684,1436944638.551392,1
-1.76123047,-1.8100586,1.9650879,247.80152894,246.51908875,242.58015442,1436944638.611331,1
1.81152344,1.02685547,1.96435547,-246.24427796,-248,248.53434754,1436944638.616601,1
-1.76147461,1.02685547,1.96313477,248.30534363,247.35877991,250.01527405,1436944638.673279,1
1.81469727,1.0288086,1.96557618,246.39694214,247.20610047,244.61068726,1436944638.732071,1
1.81518555,1.02929688,1.96826172,-249.72518921,-247.23664856,-249.98472596,1436944638.792304,1
-1.76098633,1.03320313,1.97143555,246.21374512,-244.83969117,244.62596131,1436944638.821307,1
1.81201172,1.0275879,1.97021485,-248.83969117,247.22137452,246.58015442,1436944638.852593,1
-1.76098633,1.03271485,1.9650879,-219.06869507,-250.04580689,-248.47328187,1436944638.912427,1
-1.76123047,1.03076172,-1.75170899,244.74809266,-247.20610047,241.86259461,1436944638.971375,1
1.81347657,1.03051758,1.97216797,248.38168335,248.99237061,248.53434754,1436944639.031032,1
1.81567383,1.03051758,1.97070313,-249.66412354,-243.49618531,245.32824708,1436944639.034982,1
1.80859375,1.02905274,1.96142579,247.45037842,-249.67938233,245.7709961,1436944639.093786,1
1.81616211,1.03247071,1.96972657,245.7709961,-242.59541321,249.05343628,1436944639.125155,1
-1.76098633,1.0275879,1.97265625,-249.81678772,-246.5038147,243.90840149,1436944639.152436,1
1.81201172,1.03417969,1.96655274,248.01527405,246.97709656,249.22137452,1436944639.182008,1
